Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Öldür Beni Sevgilim - Orijinal Film Müziği-Murat Boz,95.703125,0.38982058,0.29458714,0.25908968,0.1148166,17.467918,175.42244,0.12992477416992188,0.0794922664028908,2818.9853026940523,826.6086879832641,2698.011982602528,307.9783211599165,22.402785485229305,12.044928082042064,0.03734696,0.04226766,6028.565082550049,1300.2092745182558,Pop
Buralardan Giderim-Murat Boz,161.4990234375,0.36196932,0.28107643,0.27374387,0.07372178,17.451046,111.292915,0.12478370666503906,0.052920412181207514,2683.131238626535,628.9413781626638,2713.838514530642,284.45425126743305,21.933954704811665,11.384747228336217,0.03283908,0.032280207,5916.213912963867,1103.624336932911,Pop
Soyadımsın-Murat Boz,123.046875,0.34520957,0.29270634,0.27779305,0.05673257,17.136742,81.53169,0.12317848205566406,0.08885109306278559,2548.7953005065638,956.3340009496804,2697.359614879186,389.01257675028853,22.212670467089442,11.314956027392931,0.026134994,0.040846847,5640.361804962158,1623.5766315071876,Pop
Maximum - 2-Murat Boz,95.703125,0.45646375,0.28279334,0.24476627,0.08902457,14.521147,92.282524,0.12509307861328126,0.0646984366364937,2579.472431053113,800.5963267611397,2528.2656338580014,404.77461640723607,22.161593712880272,12.385739208949317,0.031530414,0.036028378,5386.026077270508,1465.9881789652088,Pop
Elmanın Yarısı - Hadi İnşallah Film Müziği-Murat Boz,95.703125,0.3741566,0.2823464,0.38769922,0.071823366,33.72372,160.105,0.11683540344238282,0.049863644710409896,2692.5089050206307,634.5067851624427,2705.1508821360517,334.74900645935713,21.895885202559683,11.228000778532035,0.031000216,0.024796393,5912.941875457764,1216.6259518760887,Pop
Ah Bu Ben-Murat Boz,123.046875,0.29733118,0.30619082,0.15602553,0.062341597,6.531962,49.42413,0.06659317016601562,0.08942201400483388,1779.4498070525726,1112.0996022617555,2221.5852742660004,471.8846058810828,25.890462129382943,11.217852068664563,0.011120504,0.029443482,3578.423023223877,2030.6623857989384,Pop
Hayat Sana Güzel-Murat Boz,129.19921875,0.359087,0.2992347,0.2808779,0.08502059,18.659294,113.70206,0.129766845703125,0.09155587742814503,2797.7404815630216,957.1321595216316,2817.041880544632,393.03978015170486,20.995081508401856,11.127872512012559,0.03969535,0.042075172,6149.546356201172,1648.658483578962,Pop
Dönmem-Murat Boz,123.046875,0.35570118,0.29017547,0.22790666,0.05920622,12.677039,67.97734,0.08456001281738282,0.06248536539173555,2359.5431245312047,810.7309854609043,2825.297084741026,431.4991141356654,23.05642719252558,10.214666400326346,0.017459363,0.025272224,5645.64416885376,1949.6929508268174,Pop
Herşeyi Yak-Murat Boz,129.19921875,0.4651828,0.28650346,0.26912108,0.08221903,16.061916,108.37582,0.16627235412597657,0.09574553382012535,3311.6576545379576,919.6369464920173,2929.6442347807783,266.26877716259224,21.151343512773902,10.785411043451942,0.07327197,0.0666117,6976.926040649414,1212.674672830903,Pop
Uçurtma-Murat Boz,60.09265988372093,0.29313844,0.31342882,0.13735929,0.07492784,5.4988666,46.368835,0.10134773254394532,0.0982503134625722,2281.600116761364,1070.2044762616244,2349.3277493699375,381.86670902383776,25.16607475419268,11.427555215723721,0.019545471,0.037324358,4749.173183441162,1700.433853095577,Pop
Yüzüm Yok-Murat Boz,161.4990234375,0.3710284,0.29922456,0.24341094,0.055867206,13.016775,75.388985,0.12644462585449218,0.07821437587733931,2724.830410804005,848.4530947345909,2671.191914120174,290.68625943980254,22.908489629552093,12.20805215577806,0.026979676,0.03454227,5945.283737182617,1231.727363832354,Pop
