Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Herşeyi Bitirdik-Ferdi Tayfur,184.5703125,0.30274126,0.3002868,0.23468176,0.07555018,12.405217,74.74928,0.1441020965576172,0.0731634609933802,2811.4982312946922,723.4298092844398,2666.734067219569,291.1315638460583,23.35095218461739,11.25824458936501,0.028142035,0.031343687,6048.306655883789,1201.9260225706823,Arabesk
Unutmak İstiyorum-Ferdi Tayfur,67.99958881578948,0.26122564,0.29684797,0.08056234,0.041677866,1.7659928,12.319758,0.09683723449707031,0.03992943932580026,2142.348130479896,532.6073259176668,2317.7243734206386,374.8848013354338,24.59666612429396,12.00510237025926,0.008458279,0.011992091,4595.564060211182,1250.1773740510657,Arabesk
Kaderimin Oyunu-Orhan Gencebay,117.45383522727273,0.30639473,0.28926796,0.17217521,0.053850845,7.365737,48.378376,0.07537078857421875,0.02047140744617908,1706.6649706686792,393.83540627437856,2082.620634197071,395.9618294124841,24.37152358062453,10.99923169457684,0.0052080504,0.0073509673,3682.547836303711,1112.4737306587053,Arabesk
Dokunma-Orhan Gencebay,112.34714673913044,0.30184904,0.29727802,0.10023086,0.029452983,2.1955636,11.249351,0.13374290466308594,0.06623296787757464,2644.3309891996964,708.2610637735991,2528.1424253835116,327.80584339484403,23.77105256577958,11.381062392254057,0.027205437,0.033915073,5392.906608581543,1264.545873103089,Arabesk
Aklım Takıldı-Orhan Gencebay,107.666015625,0.30222696,0.298969,0.1290633,0.030400438,3.6938987,18.983433,0.11985054016113281,0.05640905212219112,2682.624990690107,638.3350042993071,2726.6352234411456,294.573764761753,22.71932070458227,11.237476447026978,0.027218845,0.027232675,5861.363124847412,1184.704387501845,Arabesk
Akşam Güneşi-Orhan Gencebay,99.38401442307692,0.27396974,0.2838902,0.17862484,0.042861704,7.310113,33.74657,0.09075088500976562,0.021656208047728998,1720.7480791454134,294.86127156815536,1931.2949469368464,288.83484007188565,24.606252148720465,11.362168202431702,0.0042676963,0.0051601143,3431.9551849365234,710.938951413829,Arabesk
Hatasız Kul Olmaz-Orhan Gencebay,161.4990234375,0.29013386,0.29342365,0.20161572,0.068771474,9.915804,60.111637,0.08879776000976562,0.0425877895276939,2023.88346773569,602.5677363759027,2342.0641667885766,424.31207588102274,24.006926031206152,10.35441948237437,0.009620437,0.017959444,4402.059631347656,1281.0552188697636,Arabesk
Batsın Bu Dünya-Orhan Gencebay,151.99908088235293,0.27952185,0.2914429,0.13038751,0.033208378,3.8546765,20.142487,0.10389060974121093,0.024659019255469365,2127.5679307905366,485.21660162150425,2237.7811606469054,430.54900772309446,24.44821367392848,11.650160208904126,0.010820506,0.010505938,4299.053535461426,1399.505766270163,Arabesk
Ya Evde Yoksan-Orhan Gencebay,95.703125,0.332952,0.29825756,0.07845081,0.024154333,1.4131205,7.5957,0.12166290283203125,0.05784405299531248,2601.5372148581637,667.868435919083,2557.711469849416,313.25699871240187,23.77939482501136,12.142888151088625,0.026181381,0.030822627,5425.971851348877,1239.2115215837352,Arabesk
Vazgeç Gönlüm-Orhan Gencebay,135.99917763157896,0.28607985,0.30399007,0.2750978,0.07325061,17.886091,103.418785,0.09056892395019531,0.061262299688765356,2139.4249108349495,737.1062507950869,2424.09019322501,358.3923230228642,23.256126598603036,10.134180705688578,0.013898216,0.02803065,4520.803470611572,1363.5330068605163,Arabesk
Bir Teselli Ver-Orhan Gencebay,123.046875,0.2698515,0.28347036,0.26832145,0.05202833,16.053219,70.177765,0.09709434509277344,0.025615342908283736,1978.5844461473134,337.1329856427365,2136.2650735871334,283.68514791328744,23.820091363004757,10.050043454276112,0.008039673,0.0077978633,4029.2155838012695,765.7885277308758,Arabesk
