Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Gel Gizli Gizli-Aşık Mahzuni Şerif,92.28515625,0.25817335,0.30678493,0.13767979,0.07882529,5.8640447,55.80042,0.06882743835449219,0.028949724205678533,1646.2332330592849,502.15414543490897,1952.2251599590345,392.2471363361043,25.846063465639403,11.421370361217548,0.0019277068,0.0025745314,3569.3639373779297,1297.807831955032,Türkü
Dokunma Keyfine Yalan Dünyanın-Aşık Mahzuni Şerif,129.19921875,0.28105623,0.2974575,0.13847569,0.07514819,5.256782,45.553005,0.09466361999511719,0.027220686583835734,1779.16157895598,485.9022293453319,1672.247950909687,390.8186926377671,26.284568096217313,13.24102367176983,0.0024496506,0.004642176,3379.9390411376953,1098.6473738096138,Türkü
Nem Kaldı-Aşık Mahzuni Şerif,117.45383522727273,0.25816402,0.29761487,0.14626932,0.05480183,5.258149,34.13125,0.09344863891601562,0.03160163343571021,1794.1566830139236,403.3770271157654,1728.7868878303532,227.44993323681499,26.838292169940168,12.345641142881469,0.002027554,0.004064505,3666.3558769226074,734.5241448995966,Türkü
Bu Sene de Böyle Oldu-Aşık Mahzuni Şerif,92.28515625,0.33406398,0.31115854,0.14688177,0.05615894,5.6947737,33.901474,0.05577354431152344,0.03286762899615825,1504.9864319661676,563.0442747377317,1955.190846301739,401.0533973211057,23.85419602010524,12.557784716123049,0.004153601,0.008052167,3100.7728385925293,1376.156277269895,Türkü
Bu Yıl Benim Yeşil Bağım Kurudu-Aşık Mahzuni Şerif,135.99917763157896,0.2670723,0.3008237,0.1469808,0.08656332,6.443387,55.24789,0.0905609130859375,0.04535823591798094,2021.9381593473167,623.989872913955,2068.408074439066,379.1687207202194,26.205316252034038,12.914707125381572,0.005520123,0.011380657,4081.6354751586914,1308.6798523636764,Türkü
Darıldım Darıldım-Aşık Mahzuni Şerif,83.35433467741936,0.30720368,0.30039787,0.08894529,0.0334049,2.0127382,12.803084,0.10073280334472656,0.03846704394151192,2372.4491704301704,557.0553560073807,2536.1084411107995,310.43950682885236,23.38383234515443,11.832324601206002,0.016282786,0.019050285,5295.628681182861,1197.418909858547,Türkü
Dostum Dostum-Aşık Mahzuni Şerif,123.046875,0.30852622,0.29709852,0.056165002,0.03788009,0.9054993,8.243078,0.16845283508300782,0.09565046078355778,3058.5116154062193,951.0449848209227,2762.7256493781556,361.2157468911307,27.154045345799148,15.502874023590982,0.014197287,0.01867247,6497.728157043457,1503.0448463192695,Türkü
Ciğerparem-Aşık Mahzuni Şerif,95.703125,0.3631692,0.28504565,0.13397095,0.028582279,3.914142,16.705833,0.15479011535644532,0.03491112999234269,2904.458466045995,344.0022812161092,2877.9123698132016,133.3928778748075,22.82969964756267,11.408734303717772,0.028556367,0.01685237,6369.176616668701,600.2608256855958,Türkü
Buldular Beni-Aşık Mahzuni Şerif,117.45383522727273,0.32358715,0.29202676,0.123882554,0.048590966,3.5206409,27.200157,0.16437416076660155,0.06126718823111881,3012.36232352243,622.8826939639383,2621.0862733635713,242.27422307327274,25.37903113329217,13.76371610315856,0.025712192,0.025924798,6207.770118713379,966.0697776995589,Türkü
Dumanlı Dumanlı-Aşık Mahzuni Şerif,161.4990234375,0.29180047,0.2874375,0.11450164,0.04822264,3.1346202,21.547522,0.12090492248535156,0.03337231773091504,2007.8475867708996,403.81003307745596,1795.6542664560407,243.3215151666409,27.193749763791843,12.795249793502354,0.0019673805,0.004285341,3981.4724349975586,802.4054278721699,Türkü
Zalim-Aşık Mahzuni Şerif,112.34714673913044,0.28943238,0.29185095,0.21857786,0.055146515,10.564869,53.341362,0.1255931854248047,0.04520986525060362,2570.313456200818,593.1351962616768,2511.748626765047,301.5539828822546,23.99407975206907,11.778198075419931,0.021516874,0.024720034,5531.0723876953125,1216.696585673949,Türkü
Günler Geçer-Aşık Mahzuni Şerif,135.99917763157896,0.38512123,0.29672396,0.13001725,0.054946028,4.2825103,37.91221,0.1370250701904297,0.04302630307434021,2722.3098560589724,557.9968536071873,2582.512823206406,342.31118052557485,23.878289768748786,12.861251633634803,0.019269524,0.02117033,5598.111305236816,1171.787785778999,Türkü
Mehmet Emmi-Tarık Kavut,112.34714673913044,0.47836372,0.28973657,0.42799893,0.12103574,45.648243,364.13626,0.04640541076660156,0.02780281381833119,1568.113296289243,573.6889147173486,2087.577870028929,534.1149635916105,22.835922024840446,12.154884911287995,0.004881152,0.0076894485,3530.36865234375,1652.4886950252449,Türkü
Fırıldak Adam-Aşık Mahzuni Şerif,95.703125,0.3140356,0.30700442,0.20709166,0.086149506,11.350319,77.62245,0.07348175048828125,0.042711746214051396,1942.5291802181084,558.6568370473717,2279.116916069063,308.4707021431861,23.446781050041846,11.573613432307756,0.008235842,0.012972146,4228.784637451172,1171.3254710308618,Türkü
Haberin Var Mı-Aşık Mahzuni Şerif,129.19921875,0.29435194,0.29385683,0.07646767,0.025764326,1.4263303,8.768456,0.10569229125976562,0.035492517289550385,2328.6231590034877,482.53768705766873,2532.120232738677,264.3658912537835,24.712703077098947,11.737579036627807,0.013388246,0.016049376,5178.7353515625,972.7073914356911,Türkü
Diye Diye-Aşık Mahzuni Şerif,129.19921875,0.29712316,0.28882056,0.18734789,0.05480189,8.0805235,39.37136,0.11315689086914063,0.035130276547631234,2335.73236595383,445.9414122267228,2576.9284297829404,301.78105588827117,24.602464302022828,11.60419588675438,0.013553563,0.013861247,5274.532871246338,1129.763442946277,Türkü
Bir Değil Yarem-Aşık Mahzuni Şerif,151.99908088235293,0.27471676,0.30234098,0.119330525,0.046304885,3.6487603,23.83197,0.09847183227539062,0.04836062143140582,2558.8432364030095,719.7963858879878,2763.5818954325123,309.26074920556874,24.384752005152784,11.410144719353852,0.015515794,0.021036197,5810.280647277832,1398.699819641506,Türkü
